,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
19,0.0,Sat Jun 09 22:36:48 +0000 2018,1.0,0.0,0.0,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/xKVpypbD5i",20
20,-0.296,Sat Jun 09 22:20:02 +0000 2018,0.901,0.099,0.0,"She went out for a walk with her dogs. Then she went missing. Hours later, officials found human remains inside of… https://t.co/wMhCiG236J",21
21,0.5859,Sat Jun 09 22:10:05 +0000 2018,0.84,0.0,0.16,"Justify will attempt to become the 13th Triple Crown winner, and first since American Pharoah in 2015, in the Belmo… https://t.co/oSk73TTFVu",22
22,0.1901,Sat Jun 09 22:00:09 +0000 2018,0.923,0.0,0.077,"New parks are cropping up across the city, many courtesy of new apartment complexes, but you won’t need to have a p… https://t.co/NW2yo2cQ4L",23
23,0.6486,Sat Jun 09 21:45:04 +0000 2018,0.654,0.0,0.346,"These sweet, lemony rolls are a fresh alternative to classic cinnamon rolls https://t.co/prmvr6p22Z",24
24,-0.2411,Sat Jun 09 21:30:11 +0000 2018,0.906,0.094,0.0,"In @NYTOpinion

Sarah Jackson writes, ""Anthony Bourdain was not just curious about food and the world. He was aware… https://t.co/5hEzlnvRuR",25
25,0.0,Sat Jun 09 21:15:06 +0000 2018,1.0,0.0,0.0,Anthony Bourdain understood that eating was simply a way of taking the world inside you https://t.co/MFUCcrSnln,26
26,0.0,Sat Jun 09 21:00:09 +0000 2018,1.0,0.0,0.0,"A salmonella outbreak has been linked to melons sold at Trader Joe's, Costco, Walgreens and other stores in 8 states https://t.co/OelPlvpK5c",27
27,0.0,Sat Jun 09 20:45:08 +0000 2018,1.0,0.0,0.0,"With American presidential races requiring an ever-dizzying amount of money, a behind-the-scenes 2020 contest is al… https://t.co/tHOnZLcUXg",28
28,0.0,Sat Jun 09 20:37:06 +0000 2018,1.0,0.0,0.0,"RT @NYTNational: ⚡️ “Audio Series: ​Charm City”

https://t.co/wY7o7Opy3u",29
29,0.0,Sat Jun 09 20:30:05 +0000 2018,1.0,0.0,0.0,"Surveillance cameras are an inescapable fixture of the modern city. But in Newark, the police have taken an extraor… https://t.co/lzw2Eo7eCH",30
30,-0.6249,Sat Jun 09 20:15:09 +0000 2018,0.788,0.212,0.0,We demolish the lame excuses British executives gave for the lack of women on corporate boards. Read the latest Gen… https://t.co/jhJiWjGPGd,31
31,0.4019,Sat Jun 09 20:00:07 +0000 2018,0.791,0.065,0.144,"With Kyrie Irving's popularity has come controversy: He has questioned several times whether the Earth is round, an… https://t.co/XuXD1Q2qPy",32
32,-0.2732,Sat Jun 09 19:45:02 +0000 2018,0.829,0.114,0.057,"In @NYTOpinion 

Daniel Patterson writes, ""No matter how famous and seemingly unapproachable he became in the world… https://t.co/BQnrKYPvyI",33
33,-0.7351,Sat Jun 09 19:30:10 +0000 2018,0.676,0.324,0.0,Gun ranges and gun shops in several states have declared themselves “Muslim-free zones.” Several Muslim gun owners… https://t.co/GOwpHFkLks,34
34,0.8126,Sat Jun 09 19:15:07 +0000 2018,0.709,0.0,0.291,"In @NYTOpinion 

Musa Okwonga writes, ""Here we are again on the eve of the planet’s greatest traveling festival: Ye… https://t.co/nBxJnGwvsF",35
35,0.0,Sat Jun 09 19:00:09 +0000 2018,1.0,0.0,0.0,Have questions about the Belmont Stakes and the Triple Crown? We have your answers. https://t.co/GPu2uPlTRV,36
36,0.0,Sat Jun 09 18:45:05 +0000 2018,1.0,0.0,0.0,“I talk back to people when they say something about me now because I know even with my condition that I am beautif… https://t.co/TJmesUhGTL,37
37,0.0,Sat Jun 09 18:30:14 +0000 2018,1.0,0.0,0.0,Science is taking a back seat in policymaking across the Trump administration. The North Korea nuclear talks offer… https://t.co/hauZtxGqq5,38
38,0.0,Sat Jun 09 18:15:08 +0000 2018,1.0,0.0,0.0,"In his own unorthodox way, Trump has been preparing for this encounter with Kim Jong-Un his entire adult life https://t.co/VlXkCmqssL",39
39,0.0,Sat Jun 09 18:00:05 +0000 2018,1.0,0.0,0.0,"With his America First agenda, Trump has driven a wedge between the U.S. and its allies, ceding leadership and its… https://t.co/sfyYD4o3hM",40
40,0.128,Sat Jun 09 17:50:07 +0000 2018,0.775,0.103,0.122,"RT @TheSteinLine: All the tales — legacy, free agency, injury — from what might (or might not) have been LeBron James’ last night as a Clev…",41
41,0.0,Sat Jun 09 17:40:03 +0000 2018,1.0,0.0,0.0,California has dug in at the front lines of the resistance to President Trump. And then there is Orange County. https://t.co/BSVW14kSmd,42
42,0.0,Sat Jun 09 17:25:03 +0000 2018,1.0,0.0,0.0,"What to watch, what to read and what to listen to by and about Anthony Bourdain https://t.co/TR5noBS7Ee",43
43,-0.0772,Sat Jun 09 17:10:03 +0000 2018,0.711,0.151,0.138,"Who’s right, Elon Musk or Mark Zuckerberg? Is supersmart artificial intelligence a potential threat to humans, or a… https://t.co/8zay2rbSEG",44
44,0.4767,Sat Jun 09 17:00:23 +0000 2018,0.853,0.0,0.147,"RT @stanfordc: I’m proud to say that there has never been a swimsuit portion of the news quiz 
https://t.co/e1Z8wlhYvy https://t.co/4YJ7UrG…",45
45,0.0,Sat Jun 09 16:45:09 +0000 2018,1.0,0.0,0.0,"30 billion gallons of Hawaiian lava, as seen from the ground and space https://t.co/vz9qQOCYS9",46
46,0.2732,Sat Jun 09 16:30:07 +0000 2018,0.741,0.107,0.152,She wanted to celebrate their marriage in lavish style. He had something less lofty in mind. A lovers’ battle ensue… https://t.co/RnvIaxRtRP,47
47,-0.5994,Sat Jun 09 16:15:02 +0000 2018,0.813,0.187,0.0,"Anthony Bourdain's sudden death at Le Chambard, a hotel in the village of Kaysersberg in northeastern France, sent… https://t.co/V5gRoZKGQN",48
48,0.743,Sat Jun 09 16:01:00 +0000 2018,0.704,0.0,0.296,"@jimdwyernyt ""The supply of excellent schools cannot meet the demands of capable students, whatever their backgroun… https://t.co/KF39XvdUjJ",49
49,0.3612,Sat Jun 09 15:58:00 +0000 2018,0.872,0.0,0.128,"@jimdwyernyt The specialized schools are far from bastions of privilege, dominated by immigrants or the children of… https://t.co/DWOoiPghSz",50
50,0.3612,Sat Jun 09 15:55:03 +0000 2018,0.884,0.0,0.116,"In New York’s ragged history of race, class, privilege and equity, the city’s specialized high schools have long be… https://t.co/HL2yw2JmHz",51
51,-0.7269,Sat Jun 09 15:41:58 +0000 2018,0.747,0.253,0.0,Breaking News: President Trump threatened to end trade with G-7 nations that he said use unfair practices. “We’re l… https://t.co/uI5rOmZ76O,52
52,0.2023,Sat Jun 09 15:32:50 +0000 2018,0.847,0.0,0.153,"Flaky mounds of quick bread, golden brown, with a significant crumb https://t.co/wbMRgvySpY",53
53,0.6369,Sat Jun 09 15:16:31 +0000 2018,0.669,0.092,0.239,Breaking News: Simona Halep of Romania beat Sloane Stephens to win the French Open. It was the first Grand Slam tit… https://t.co/3sFwWkJ353,54
54,0.7269,Sat Jun 09 15:05:06 +0000 2018,0.711,0.0,0.289,Her $1 million gift left educators asking: How was one teacher able to save so much money?https://t.co/Vv8fhgbwWA,55
55,-0.875,Sat Jun 09 14:51:21 +0000 2018,0.679,0.321,0.0,"If you or someone else you know is having thoughts of suicide, call the National Suicide Prevention Lifeline at 1-8… https://t.co/5kOUYV8c3u",56
56,-0.6705,Sat Jun 09 14:50:03 +0000 2018,0.809,0.191,0.0,New federal data shows that suicide rates have been increasing for years in almost every state and across demograph… https://t.co/g6znmjYQl5,57
57,-0.0258,Sat Jun 09 14:37:50 +0000 2018,0.723,0.14,0.136,"After failing to repeal the Affordable Care Act, the Trump administration is seizing on a different strategy for di… https://t.co/Low8zwBsVL",58
58,0.5106,Sat Jun 09 14:36:39 +0000 2018,0.845,0.0,0.155,"Our experts weighed in on the contenders, including the Triple Crown hopeful Justify, for the 150th Belmont Stakes https://t.co/xi9TIoAxWb",59
59,0.0,Sat Jun 09 14:20:07 +0000 2018,1.0,0.0,0.0,"RT @NYTMetro: “This is the deportation machine in full effect, and everyone should wake up to how American citizens and their families are…",60
60,0.6369,Sat Jun 09 14:02:25 +0000 2018,0.84,0.0,0.16,"RT @caityweaver: The strangest and best recommendation I will ever make to you is: Listen to the same 4 podcast appearances by ""Sex and the…",61
61,-0.296,Sat Jun 09 13:43:12 +0000 2018,0.864,0.136,0.0,Pope Tells Oil Executives to Act on Climate: ‘There Is No Time to Lose’ https://t.co/jpXdOMmBOf,62
62,0.0,Sat Jun 09 13:38:05 +0000 2018,1.0,0.0,0.0,Elizabeth Warren and a Scholarly Debate Over Medical Bankruptcy That Won’t Go Away https://t.co/mbz6wvuSUO,63
63,0.4574,Sat Jun 09 13:26:45 +0000 2018,0.501,0.0,0.499,RT @NYTStyles: Parties! https://t.co/MdgG2e1xjI,64
64,0.7906,Sat Jun 09 13:06:58 +0000 2018,0.667,0.0,0.333,"RT @nytimesbusiness: ""Wealth was about being able to create the change you wish to see in the world.” https://t.co/KoQCO5Iy1y",65
65,0.0,Sat Jun 09 12:50:47 +0000 2018,1.0,0.0,0.0,An exhibition in London examines the feelings people harbor about their teeth. Here's a look at some of the most cu… https://t.co/KRz76xwrXq,66
66,0.5859,Sat Jun 09 12:33:02 +0000 2018,0.787,0.0,0.213,RT @NYTSports: Need a winner for the Belmont Stakes? @MHoppertNYT and @joedrape have you covered: https://t.co/44joWHhuTm,67
67,-0.296,Sat Jun 09 12:32:42 +0000 2018,0.784,0.216,0.0,Why Cities Can’t Stop Poaching From One Another https://t.co/X1SeTjbqKs,68
68,-0.296,Sat Jun 09 12:17:32 +0000 2018,0.909,0.091,0.0,RT @nytimesworld: Austrian officials have ordered seven mosques to close and may refuse dozens of imams the right to reside in the country…,69
69,0.0,Sat Jun 09 12:00:08 +0000 2018,1.0,0.0,0.0,RT @nytrealestate: A quick guide to what you need to get your first apartment in New York City https://t.co/NQYV03Xkyn,70
70,-0.3182,Sat Jun 09 11:49:08 +0000 2018,0.723,0.277,0.0,Men’s Fashion Week Loses Some Luster https://t.co/TCj0nbeFMj,71
71,-0.8074,Sat Jun 09 11:41:16 +0000 2018,0.644,0.356,0.0,"Inside New York’s dollar van wars: strict regulations, low margins and a constant fight with rogue van drivers https://t.co/kiAEpdxkgV",72
72,0.0,Sat Jun 09 11:23:34 +0000 2018,1.0,0.0,0.0,"RT @NYTMetro: On the stoop that was his perch, a requiem for the mayor of West 83rd Street, in Manhattan. https://t.co/qRN1VlPo1t",73
73,0.3612,Sat Jun 09 11:07:18 +0000 2018,0.783,0.0,0.217,"Charlotte Fox, 61, Trailblazing Alpinist and Everest Survivor, Dies https://t.co/nM5gpQdLhB",74
74,0.4404,Sat Jun 09 11:05:12 +0000 2018,0.707,0.0,0.293,A Good Appetite: Chicken Milanese Has Its Moment https://t.co/Rhco2hq6mS,75
75,0.0,Sat Jun 09 11:03:06 +0000 2018,1.0,0.0,0.0,The New York Times obituary for Anthony Bourdain https://t.co/D697EnEWQX,76
76,0.6369,Sat Jun 09 10:35:35 +0000 2018,0.833,0.0,0.167,RT @NYTmag: 24 hours. 23 photographers. One city. One topic: Love. Watch the making of this issue https://t.co/s2uND5xgVs and see the full…,77
77,0.25,Sat Jun 09 10:18:25 +0000 2018,0.895,0.0,0.105,The recent volcanic eruptions in Hawaii and Guatemala are a reminder that not all volcanoes are created equal https://t.co/M7sNdtwIzJ,78
78,0.5267,Sat Jun 09 10:00:17 +0000 2018,0.855,0.0,0.145,"For the 3rd time in 4 seasons, and for the 2nd year in a row, the Golden State Warriors are NBA champions https://t.co/r7NgjH0nbf",79
79,-0.1531,Sat Jun 09 09:41:41 +0000 2018,0.762,0.129,0.109,"RT @nytimestech: The Chinese electronics maker ZTE has survived its brush with death. Now, it has to figure out how to stay in business. He…",80
80,0.6124,Sat Jun 09 09:24:47 +0000 2018,0.722,0.0,0.278,"RT @nytrealestate: You may like the contractor, but does the contractor like you back? https://t.co/kPShW4JONu",81
81,0.5994,Sat Jun 09 09:07:20 +0000 2018,0.792,0.049,0.158,"RT @NYTmag: On a rainy Saturday morning on May 19, @philip_nyc captured love in the middle of Times Square. See more from our #NYTLoveCity…",82
82,-0.4215,Sat Jun 09 08:50:10 +0000 2018,0.714,0.286,0.0,How I Used Art to Get Through Trauma https://t.co/7N5fzAxLoe,83
83,0.0,Sat Jun 09 08:42:33 +0000 2018,1.0,0.0,0.0,"The NYT review of ""Ocean's 8"" https://t.co/flFaRzpyzr",84
84,0.5106,Sat Jun 09 08:26:14 +0000 2018,0.752,0.0,0.248,She’s photographed Broadway for years. Now Broadway is honoring her. https://t.co/eI7sfheNWI,85
85,-0.7579,Sat Jun 09 08:09:03 +0000 2018,0.622,0.303,0.075,The killing in Germany comes on top of a deepening scandal and calls for a full-blown parliamentary investigation o… https://t.co/0p5qfKyP2V,86
86,-0.6249,Sat Jun 09 07:42:08 +0000 2018,0.83,0.17,0.0,"RT @nytimesworld: More than 140 miles away and three decades after the Chernobyl disaster, some cows still make radioactive milk https://t.…",87
87,0.8097,Sat Jun 09 07:25:53 +0000 2018,0.706,0.0,0.294,RT @nytopinion: This weekend we are sharing some pieces on music. Think of it as a little inspiration to appreciate the soundtrack of your…,88
88,0.0,Sat Jun 09 07:09:23 +0000 2018,1.0,0.0,0.0,"RT @nytimesbusiness: HBO is making a pilot for one of the five ""Game of Thrones"" prequels it has in development https://t.co/EMeqQvEdHQ",89
89,-0.25,Sat Jun 09 06:52:51 +0000 2018,0.595,0.232,0.173,"Taliban Announce Brief Cease-Fire, Offering Afghans Hope for Lull in War https://t.co/IlMkkFHSCM",90
90,0.7184,Sat Jun 09 06:41:20 +0000 2018,0.662,0.077,0.261,"RT @NYTMetro: Underneath the umbrella: a fascinating photo portfolio of the lifeguards of Jones Beach, in all their stoic, bored, heroic gl…",91
91,0.0,Sat Jun 09 06:24:54 +0000 2018,1.0,0.0,0.0,"China’s ZTE— a little-known electronics maker— became an unlikely political football, then an even unlikelier objec… https://t.co/APxvWFepXB",92
92,0.357,Sat Jun 09 06:06:12 +0000 2018,0.879,0.0,0.121,"Andrew Rannells: ""I didn't feel jealous; I felt driven. I wanted to be one of those people on the Tonys."" https://t.co/i3LX0WgQBb",93
93,0.5859,Sat Jun 09 05:50:04 +0000 2018,0.743,0.0,0.257,Here's who we think will win the Tonys (and who should) https://t.co/ZlqqPQRtvt,94
94,0.2732,Sat Jun 09 05:35:00 +0000 2018,0.584,0.168,0.248,Justice Dept. Requests Delay if DACA Injunction Is Issued https://t.co/HB7h98gENy,95
95,0.0,Sat Jun 09 05:32:30 +0000 2018,1.0,0.0,0.0,"RT @nytpolitics: The president said that Melania Trump “wanted to go” with him to the Group of 7 summit meeting in Quebec, but was staying…",96
96,-0.2023,Sat Jun 09 05:00:08 +0000 2018,0.708,0.163,0.129,"50 years after his death, friends, aides and journalists recall Robert F. Kennedy's last campaign in California, hi… https://t.co/bAveWEnYW5",97
97,-0.34,Sat Jun 09 04:45:03 +0000 2018,0.893,0.107,0.0,"In Canada, many observers were calling it the ""G-6 plus 1"" — with President Trump being cast as the irrational, ira… https://t.co/AUbzhnVmGY",98
98,-0.0387,Sat Jun 09 04:30:05 +0000 2018,0.948,0.052,0.0,"RT @kenvogel: MANAFORT paid KONSTANTIN KILIMNIK $531k in 2013 &amp; 2014, according to lobbying records, but that covers only a fraction of the…",99
99,-0.5574,Sat Jun 09 04:15:04 +0000 2018,0.53,0.322,0.148,What should you do when a loved one is severely depressed? Don’t underestimate the power of showing up. https://t.co/yqRyXmSWiM,100
